subject_id	trial	strategy	probability
89	0	0	0.22094312
89	1	0	0.030224886
89	2	0	0.004346395
89	3	0	0.0005554796
89	4	0	7.4098956e-05
89	5	0	1.0179168e-05
89	6	0	1.4251066e-06
89	7	0	2.0188139e-07
89	8	0	2.8804989e-08
89	9	0	4.1293156e-09
89	10	0	5.9522165e-10
89	11	0	8.4916615e-11
89	12	0	1.2274007e-11
89	13	0	1.7665834e-12
89	14	0	2.3541843e-13
89	15	0	3.2438956e-14
89	16	0	4.666375e-15
89	17	0	6.071833e-16
89	18	0	8.202193e-17
89	19	0	1.1361562e-17
89	20	0	1.5996684e-18
89	21	0	2.2808704e-19
89	22	0	3.3346995e-20
89	23	0	5.5147877e-21
89	24	0	1.5173408e-21
90	0	0	0.13268459
90	1	0	0.118851535
90	2	0	0.017638832
90	3	0	0.004449352
90	4	0	0.0026488742
90	5	0	0.0023888058
90	6	0	0.00034381973
90	7	0	4.583139e-05
90	8	0	6.316353e-06
90	9	0	9.086204e-07
90	10	0	1.1827978e-07
90	11	0	1.5982588e-08
90	12	0	2.2142017e-09
90	13	0	3.1168668e-10
90	14	0	4.4347043e-11
90	15	0	6.389133e-12
90	16	0	8.957829e-13
90	17	0	1.2724691e-13
90	18	0	1.8413258e-14
90	19	0	2.6483358e-15
90	20	0	3.407185e-16
90	21	0	4.5794118e-17
90	22	0	6.448127e-18
90	23	0	1.0407518e-18
90	24	0	2.8247546e-19
91	0	0	0.8223226
91	1	0	0.11853045
91	2	0	0.016984418
91	3	0	0.0024480438
91	4	0	0.0003488073
91	5	0	5.0277707e-05
91	6	0	7.0900505e-06
91	7	0	1.0279396e-06
91	8	0	1.4767035e-07
91	9	0	1.7838879e-08
91	10	0	2.2836553e-09
91	11	0	3.0688252e-10
91	12	0	4.4177693e-11
91	13	0	5.4677513e-12
91	14	0	7.8235926e-13
91	15	0	7.3378884e-14
91	16	0	7.265525e-15
91	17	0	7.688964e-16
91	18	0	8.743057e-17
91	19	0	1.0636058e-17
91	20	0	1.3683695e-18
91	21	0	1.8391513e-19
91	22	0	2.5896513e-20
91	23	0	4.1797945e-21
91	24	0	1.134458e-21
92	0	0	0.24763465
92	1	0	0.035397
92	2	0	0.0051022572
92	3	0	0.0007239283
92	4	0	0.00010479003
92	5	0	1.5070069e-05
92	6	0	1.920867e-06
92	7	0	2.5732626e-07
92	8	0	3.696699e-08
92	9	0	4.472726e-09
92	10	0	5.7278027e-10
92	11	0	7.6520124e-11
92	12	0	1.0525439e-11
92	13	0	1.4779509e-12
92	14	0	2.127909e-13
92	15	0	2.8954988e-14
92	16	0	4.029354e-15
92	17	0	5.6868283e-16
92	18	0	8.095563e-17
92	19	0	1.1585373e-17
92	20	0	1.6642412e-18
92	21	0	2.406643e-19
92	22	0	3.5185827e-20
92	23	0	5.818887e-21
92	24	0	1.6010108e-21
93	0	0	0.1862405
93	1	0	0.16829224
93	2	0	0.024182895
93	3	0	0.0034859758
93	4	0	0.0004996263
93	5	0	7.2198214e-05
93	6	0	1.0460227e-05
93	7	0	1.5032747e-06
