subject_id	trial	type	state	strategy	response
0	0	0	0.20148945	0.27573603	0.091912016
0	0	1	0.6475637	0.5821916	0.5106771
0	0	2	0.13709463	0.13122834	0.19328345
0	0	3	0.013852152	0.0108439885	0.20412745
0	1	0	0.02588447	0.06290715	0.020969052
0	1	1	0.16524549	0.17722209	0.14610678
0	1	2	0.78444535	0.7407502	0.4069018
0	1	3	0.024424624	0.019120518	0.42602232
0	2	0	0.003312821	0.030207377	0.010069125
0	2	1	0.04157289	0.07238671	0.061683312
0	2	2	0.921101	0.87077904	0.45081034
0	2	3	0.03401335	0.026626935	0.4774373
0	3	0	0.00041307122	0.024318708	0.008106236
0	3	1	0.010416829	0.04481566	0.04068542
0	3	2	0.9035408	0.8638318	0.44208726
0	3	3	0.08562931	0.06703386	0.5091211
0	4	0	5.262674e-05	0.02308711	0.007695703
0	4	1	0.002655267	0.037598297	0.03532647
0	4	2	0.88317496	0.8499794	0.43382132
0	4	3	0.11411726	0.0893353	0.52315664
0	5	0	6.7880974e-06	0.022756752	0.0075855837
0	5	1	0.00068342994	0.03558651	0.03383845
0	5	2	0.8697273	0.8402147	0.428567
0	5	3	0.12958252	0.1014421	0.5300091
0	6	0	8.816189e-07	0.022644486	0.007548162
0	6	1	0.0001768522	0.03497534	0.033381104
0	6	2	0.8618788	0.8343928	0.4255417
0	6	3	0.13794352	0.107987404	0.5335291
0	7	0	1.1493632e-07	0.022598434	0.007532811
0	7	1	4.5897566e-05	0.034766823	0.03322163
0	7	2	0.85749507	0.8311125	0.42386168
0	7	3	0.14245895	0.11152225	0.53538394
0	8	0	1.5014917e-08	0.02257702	0.007525673
0	8	1	1.1928991e-05	0.03468556	0.03315794
0	8	2	0.85509115	0.82930666	0.42294282
0	8	3	0.14489688	0.11343075	0.53637356
0	9	0	1.9634625e-09	0.022566315	0.007522105
0	9	1	3.101428e-06	0.034649804	0.033129342
0	9	2	0.8537838	0.82832277	0.42244372
0	9	3	0.14621304	0.114461094	0.5369048
0	10	0	2.5667696e-10	0.022560751	0.007520251
