epoch	loss	accuracy	solved	dataset	run_id
0	2.2007003	0.118836075	0.0	train	7
1	0.9270873	0.6936286	0.037372224	train	7
2	0.53786165	0.8826334	0.39695	train	7
3	0.4862726	0.9093311	0.49265558	train	7
4	0.46640536	0.9208812	0.5315111	train	7
5	0.45462093	0.92791116	0.5577722	train	7
6	0.4459514	0.93326354	0.5764667	train	7
7	0.4394271	0.9372242	0.5936389	train	7
8	0.43405405	0.94042003	0.6060889	train	7
9	0.42972112	0.9429642	0.61558336	train	7
10	0.42512047	0.9457194	0.62617224	train	7
11	0.4216072	0.9476329	0.6347333	train	7
12	0.41813716	0.9497666	0.64265	train	7
13	0.4152413	0.95126456	0.6481722	train	7
14	0.41274187	0.9527197	0.6537833	train	7
15	0.41071656	0.9537169	0.6575889	train	7
16	0.40882888	0.9548616	0.66321665	train	7
17	0.4063423	0.9562719	0.6681778	train	7
18	0.40470105	0.95712465	0.6730667	train	7
19	0.40353808	0.95773137	0.6752667	train	7
20	0.4018459	0.95871454	0.6805611	train	7
21	0.40030026	0.95962894	0.68350554	train	7
22	0.39916608	0.96033657	0.6869889	train	7
23	0.39828768	0.9607583	0.6890445	train	7
24	0.39765856	0.96119374	0.69033337	train	7
25	0.400338	0.9596844	0.6849389	train	7
26	0.39613122	0.96197146	0.69533336	train	7
27	0.39461654	0.9626345	0.69797224	train	7
28	0.39457694	0.9627148	0.6990389	train	7
29	0.39390004	0.9632011	0.7008945	train	7
30	0.39282906	0.9637287	0.7044111	train	7
31	0.39246315	0.96388215	0.70436114	train	7
32	0.39188355	0.9641714	0.7061	train	7
33	0.39123404	0.96453196	0.7077111	train	7
34	0.3903662	0.96505785	0.71128887	train	7
35	0.38990915	0.96529317	0.71223336	train	7
36	0.39332566	0.9633755	0.7039667	train	7
37	0.38982907	0.9653729	0.7117278	train	7
38	0.3894592	0.9654877	0.7127278	train	7
39	0.38868943	0.96590376	0.7150889	train	7
40	0.38785228	0.9662731	0.71662223	train	7
41	0.38746047	0.96647394	0.7180833	train	7
42	0.38719547	0.9664713	0.71842223	train	7
43	0.3884347	0.96599704	0.7149278	train	7
44	0.3863221	0.96713203	0.7209	train	7
45	0.3869357	0.966776	0.7190167	train	7
46	0.38631496	0.966991	0.7215	train	7
47	0.38658577	0.96687305	0.71995556	train	7
48	0.3853969	0.96753705	0.72322226	train	7
49	0.38587606	0.9673153	0.72236115	train	7
50	0.38534847	0.96759415	0.72387224	train	7
51	0.38539788	0.96740246	0.7237222	train	7
52	0.3849631	0.96761906	0.72462225	train	7
53	0.3856682	0.9673524	0.7244056	train	7
54	0.38530025	0.96734625	0.72302777	train	7
55	0.38411915	0.9680623	0.72662777	train	7
56	0.38302454	0.96870184	0.73010004	train	7
57	0.38323173	0.9685871	0.72895557	train	7
58	0.3831699	0.96863717	0.72976667	train	7
59	0.38332757	0.9684304	0.7280722	train	7
60	0.38370916	0.9682383	0.7279889	train	7
61	0.38226908	0.96908265	0.7317778	train	7
62	0.38261858	0.96891475	0.7303333	train	7
63	0.38200617	0.9691178	0.73245	train	7
64	0.3823792	0.9689287	0.7313778	train	7
65	0.3815037	0.96932256	0.7336778	train	7
66	0.38151607	0.9694089	0.73263335	train	7
67	0.382148	0.9690294	0.73273337	train	7
68	0.3817461	0.96924454	0.73269445	train	7
69	0.38208362	0.96906084	0.7323111	train	7
70	0.38177988	0.96926385	0.73291665	train	7
71	0.38112584	0.9695366	0.7348667	train	7
72	0.381026	0.96965873	0.73505	train	7
73	0.38032383	0.9699555	0.7370889	train	7
74	0.38048825	0.96989816	0.73627776	train	7
75	0.38349327	0.9682745	0.72888887	train	7
76	0.38009652	0.97014	0.7376389	train	7
77	0.37985206	0.9702425	0.73885	train	7
78	0.37989867	0.9701371	0.7382778	train	7
79	0.3800841	0.9700134	0.7385778	train	7
80	0.38006955	0.97013533	0.73801666	train	7
81	0.37902504	0.9706521	0.7406222	train	7
82	0.37925553	0.9704859	0.73987776	train	7
