epoch	loss	accuracy	solved	dataset	run_id
0	2.2120593	0.10842531	0.0	train	3
1	0.9468748	0.69063723	0.038655557	train	3
2	0.53989404	0.88178647	0.40425557	train	3
3	0.49117643	0.9060482	0.48880556	train	3
4	0.4716526	0.91763383	0.5257278	train	3
5	0.46110114	0.9240735	0.5463833	train	3
6	0.45290723	0.92919546	0.56423336	train	3
7	0.44727477	0.9325718	0.5755611	train	3
8	0.44403175	0.9343368	0.5828222	train	3
9	0.43724412	0.9383773	0.59723336	train	3
10	0.43298385	0.94107705	0.6063	train	3
11	0.42945912	0.9431256	0.61296666	train	3
12	0.42580625	0.94508445	0.6220389	train	3
13	0.42267138	0.94701236	0.63044447	train	3
14	0.41952953	0.9488897	0.63743335	train	3
15	0.41903788	0.9490492	0.63794446	train	3
16	0.4152453	0.95131785	0.64655	train	3
17	0.41217485	0.9531134	0.6549111	train	3
18	0.41208363	0.95309156	0.65412223	train	3
19	0.408797	0.9550404	0.66304445	train	3
20	0.40946686	0.95488334	0.66170555	train	3
21	0.40530524	0.9569815	0.67165	train	3
22	0.40413195	0.95771235	0.67516667	train	3
23	0.4032034	0.9582589	0.67755	train	3
24	0.40199322	0.9590391	0.6805889	train	3
25	0.40104857	0.9595072	0.6826278	train	3
26	0.40205747	0.95887905	0.68018335	train	3
27	0.39935973	0.9603933	0.6873556	train	3
28	0.39782867	0.9611885	0.69141114	train	3
29	0.39761174	0.9613474	0.6906889	train	3
30	0.39660677	0.9619736	0.69342226	train	3
31	0.39600444	0.96214163	0.69544446	train	3
32	0.39518854	0.96257126	0.69759446	train	3
33	0.39608073	0.96221864	0.69590557	train	3
34	0.39373207	0.96336126	0.7010611	train	3
35	0.39497712	0.962949	0.6988389	train	3
36	0.39305285	0.96368986	0.7025722	train	3
37	0.3924535	0.96398896	0.7055945	train	3
38	0.39140943	0.964593	0.7072222	train	3
39	0.3916625	0.96437985	0.70665556	train	3
40	0.39074638	0.9648955	0.7102167	train	3
41	0.39065015	0.9649696	0.709	train	3
42	0.3891936	0.9655424	0.7137	train	3
43	0.38973406	0.96538544	0.71219444	train	3
44	0.38902292	0.965662	0.7134889	train	3
45	0.38876176	0.9659263	0.7150222	train	3
46	0.38791785	0.9662546	0.7158778	train	3
47	0.38831094	0.96610695	0.71573335	train	3
48	0.38728532	0.9666343	0.71740556	train	3
49	0.38692504	0.9667165	0.71908337	train	3
50	0.3873028	0.96666193	0.71813333	train	3
51	0.38690633	0.96692663	0.7197722	train	3
52	0.3862007	0.96719295	0.72164446	train	3
53	0.38867387	0.966103	0.7164111	train	3
54	0.38840333	0.9659622	0.71656114	train	3
55	0.38768128	0.9662479	0.71727777	train	3
56	0.38567126	0.9674689	0.72235554	train	3
57	0.38480204	0.9679222	0.7245778	train	3
58	0.38535368	0.9675798	0.7229056	train	3
59	0.38478178	0.9678868	0.72486115	train	3
60	0.3849368	0.96771705	0.7245833	train	3
61	0.38420287	0.9681789	0.72571665	train	3
62	0.38389507	0.9684728	0.72715	train	3
63	0.38404912	0.9684008	0.72742224	train	3
64	0.38372844	0.96856266	0.72845554	train	3
65	0.38350317	0.9686167	0.72806114	train	3
66	0.38961974	0.9654853	0.7139111	train	3
67	0.38464436	0.9680701	0.72543335	train	3
68	0.38465336	0.968031	0.72603333	train	3
69	0.38271677	0.9689866	0.7303944	train	3
70	0.38276592	0.96903217	0.73017776	train	3
71	0.38258168	0.9690937	0.7302889	train	3
72	0.3827986	0.96909326	0.72941667	train	3
73	0.38244453	0.9692274	0.7311111	train	3
