epoch	loss	accuracy	solved	dataset	run_id
0	2.209995	0.111410424	0.0	train	4
1	0.94227797	0.68996215	0.031594444	train	4
2	0.5444222	0.8808574	0.3794389	train	4
3	0.4898542	0.90795046	0.48514444	train	4
4	0.4690981	0.9202779	0.52688336	train	4
5	0.45797145	0.9268783	0.55217224	train	4
6	0.44759828	0.93292725	0.5735389	train	4
7	0.44175002	0.93628573	0.58638334	train	4
8	0.4354512	0.9399753	0.6017889	train	4
9	0.43259674	0.9413728	0.60720557	train	4
10	0.42624962	0.94524664	0.62243336	train	4
11	0.42226845	0.9473784	0.6323889	train	4
12	0.42139456	0.9479584	0.6352	train	4
13	0.41697618	0.9502338	0.6439056	train	4
14	0.4132062	0.95250094	0.65310556	train	4
15	0.41091728	0.9537077	0.6572222	train	4
16	0.40820467	0.9551558	0.66373336	train	4
17	0.4061014	0.9562441	0.66837776	train	4
18	0.40592277	0.95642626	0.6699333	train	4
19	0.40252593	0.9584137	0.67809445	train	4
20	0.40159616	0.9587178	0.6813722	train	4
21	0.40012413	0.9597062	0.68453336	train	4
22	0.39868185	0.96025705	0.68945557	train	4
23	0.39700142	0.96128273	0.6926	train	4
24	0.39807937	0.9607861	0.6898778	train	4
25	0.3948086	0.962429	0.6980278	train	4
26	0.3944616	0.96263504	0.69942224	train	4
27	0.3936649	0.96307755	0.70198333	train	4
28	0.39527485	0.96230847	0.6982167	train	4
29	0.39200664	0.9639967	0.7063111	train	4
30	0.3913695	0.9644389	0.7075667	train	4
31	0.39031923	0.9649821	0.71034443	train	4
32	0.38969356	0.96523386	0.7128389	train	4
33	0.38980332	0.9652412	0.71231115	train	4
34	0.3891447	0.9656199	0.7132667	train	4
35	0.38779664	0.9663282	0.71712226	train	4
36	0.38800487	0.96616834	0.7159945	train	4
37	0.38765264	0.9664964	0.7184333	train	4
38	0.38680547	0.9668285	0.72037226	train	4
39	0.386348	0.96708125	0.7202833	train	4
40	0.38622466	0.9671446	0.7211889	train	4
41	0.38579044	0.9673158	0.72232777	train	4
42	0.38524598	0.9676627	0.7246389	train	4
43	0.38485882	0.96776503	0.72486115	train	4
44	0.38442156	0.9682105	0.7267167	train	4
45	0.38475978	0.96795166	0.72554445	train	4
46	0.3844151	0.9681	0.72528887	train	4
47	0.38384855	0.9683967	0.72802776	train	4
48	0.38416398	0.968211	0.72689444	train	4
49	0.38439342	0.96810246	0.72611666	train	4
50	0.3830726	0.968701	0.7292945	train	4
51	0.38293287	0.96880466	0.73046666	train	4
52	0.38287485	0.9688214	0.72971666	train	4
53	0.38231343	0.96909195	0.7322389	train	4
54	0.3816954	0.96954423	0.7336889	train	4
55	0.38174295	0.9693276	0.7336611	train	4
56	0.38176784	0.96938	0.7330667	train	4
57	0.38150385	0.96955067	0.73526114	train	4
58	0.38078132	0.96989024	0.73535556	train	4
59	0.38113356	0.9697126	0.7351222	train	4
60	0.38047856	0.9700832	0.73717225	train	4
61	0.38041115	0.9700491	0.7364778	train	4
62	0.38012946	0.9703379	0.7380389	train	4
63	0.38011372	0.9702527	0.7386611	train	4
64	0.37998593	0.9702814	0.7382	train	4
65	0.37991706	0.97036195	0.7392167	train	4
66	0.3800816	0.9702003	0.7382	train	4
67	0.3793329	0.9706209	0.74035	train	4
68	0.37948883	0.97055537	0.7392333	train	4
69	0.37939486	0.9705462	0.7404445	train	4
70	0.37969458	0.9704221	0.7398889	train	4
71	0.3791973	0.97063476	0.7401889	train	4
72	0.3786365	0.97096807	0.7425	train	4
73	0.37948838	0.97051185	0.7391111	train	4
74	0.3786904	0.9709425	0.74221665	train	4
75	0.37899488	0.97063977	0.7404389	train	4
76	0.37809277	0.9712452	0.7437111	train	4
77	0.37834266	0.9711399	0.7425778	train	4
78	0.3783069	0.9710471	0.7432778	train	4
79	0.37905252	0.9706537	0.7412611	train	4
80	0.37812456	0.9711399	0.7434889	train	4
81	0.37831312	0.97114843	0.7426778	train	4
82	0.37834004	0.9710591	0.74360555	train	4
83	0.37827766	0.9710492	0.74285555	train	4
84	0.37783435	0.9713678	0.74473333	train	4
85	0.37804127	0.97126263	0.7442389	train	4
86	0.3774934	0.9714647	0.74521667	train	4
87	0.37735033	0.97152156	0.7450111	train	4
88	0.37751886	0.9715035	0.7454111	train	4
89	0.37711835	0.97177243	0.7466278	train	4
90	0.37681153	0.9718554	0.7470389	train	4
91	0.3772655	0.9716035	0.7456389	train	4
92	0.37764326	0.9713621	0.7454278	train	4
93	0.3792295	0.97044116	0.7414333	train	4
94	0.37809056	0.9711422	0.74385554	train	4
95	0.3770057	0.97170436	0.74570554	train	4
96	0.3766819	0.9718676	0.7476778	train	4
97	0.37633586	0.9720088	0.7489222	train	4
98	0.37664008	0.9719084	0.74734443	train	4
99	0.37596065	0.97222215	0.7506889	train	4
100	0.37645617	0.97201335	0.7482833	train	4
0	2.2099745	0.1113546	0.0	test	4
1	0.62150264	0.8473189	0.2478889	test	4
2	0.50591767	0.9001762	0.4696111	test	4
3	0.48469862	0.909048	0.4813889	test	4
4	0.47015733	0.9176804	0.5165	test	4
5	0.45123228	0.93002534	0.5706111	test	4
6	0.4504043	0.9292016	0.5347222	test	4
7	0.443939	0.9338861	0.58727777	test	4
8	0.43819657	0.93807954	0.5917778	test	4
9	0.42765698	0.9446763	0.62855554	test	4
10	0.42736375	0.9435158	0.6182778	test	4
11	0.43334657	0.94078666	0.5912778	test	4
12	0.41877785	0.94933194	0.6536667	test	4
13	0.41568604	0.9512229	0.64383334	test	4
14	0.4115135	0.95315087	0.6487778	test	4
15	0.4103179	0.95466185	0.6753333	test	4
16	0.40882194	0.9551426	0.6645	test	4
17	0.41008717	0.95280385	0.6336667	test	4
18	0.40429443	0.95746773	0.68855554	test	4
19	0.40304524	0.9580288	0.6765556	test	4
20	0.40148842	0.95878875	0.6835	test	4
21	0.4000171	0.958786	0.6804445	test	4
22	0.40224305	0.9576975	0.6705	test	4
23	0.40241772	0.95801234	0.67311114	test	4
24	0.3966656	0.9611886	0.6947778	test	4
25	0.39769185	0.9607647	0.68855554	test	4
26	0.39488128	0.9623271	0.6976111	test	4
27	0.39662632	0.96205896	0.7002778	test	4
28	0.3932315	0.9637853	0.7206111	test	4
29	0.39987794	0.9589533	0.67550004	test	4
30	0.39634293	0.96108913	0.68916667	test	4
31	0.39505318	0.9618086	0.6959444	test	4
32	0.3912028	0.96355414	0.7107222	test	4
33	0.39050665	0.96492386	0.70944446	test	4
34	0.3879445	0.96638405	0.72466666	test	4
35	0.39078292	0.9653834	0.7191667	test	4
36	0.39020306	0.9656948	0.7231111	test	4
37	0.3881607	0.9653395	0.7102778	test	4
38	0.38695055	0.96674687	0.7264444	test	4
39	0.38711134	0.9669232	0.7263333	test	4
40	0.38794988	0.9662716	0.72105557	test	4
41	0.39060694	0.9635521	0.69644445	test	4
42	0.3958999	0.96257883	0.6996111	test	4
43	0.38611224	0.9670816	0.72205555	test	4
44	0.38448954	0.9680055	0.7295	test	4
45	0.38607305	0.9670144	0.7092778	test	4
46	0.38794675	0.9661433	0.71655554	test	4
47	0.38490084	0.96725994	0.7251667	test	4
48	0.38658607	0.96694994	0.7263333	test	4
49	0.3852228	0.967751	0.72594446	test	4
50	0.409493	0.95415705	0.68972224	test	4
51	0.38519257	0.96651095	0.7021667	test	4
