epoch	loss	accuracy	solved	dataset	run_id
0	2.2102125	0.11109575	0.0	train	6
1	0.91905636	0.7148315	0.06960556	train	6
2	0.53541446	0.8858275	0.40736112	train	6
3	0.4869635	0.90953726	0.49018335	train	6
4	0.46835548	0.9205041	0.52688336	train	6
5	0.45896128	0.92606467	0.54568887	train	6
6	0.45118254	0.93075526	0.5622111	train	6
7	0.44541284	0.934038	0.57526666	train	6
8	0.44029167	0.93718886	0.5875667	train	6
9	0.43619806	0.9395357	0.5959667	train	6
10	0.43164286	0.9420795	0.60626113	train	6
11	0.42841262	0.94389343	0.6147889	train	6
12	0.4341234	0.94126713	0.60630554	train	6
13	0.42527682	0.9457781	0.6239167	train	6
14	0.42145047	0.94782346	0.63250554	train	6
15	0.41939935	0.94902855	0.63718337	train	6
16	0.41563556	0.9511305	0.6450667	train	6
17	0.41340932	0.9524794	0.6502778	train	6
18	0.41059622	0.95403725	0.6564722	train	6
19	0.40886515	0.95496523	0.66078335	train	6
20	0.40760928	0.9557008	0.6639278	train	6
21	0.40534288	0.95690453	0.66952777	train	6
22	0.40322846	0.9581408	0.6748222	train	6
23	0.4016883	0.95892245	0.6776722	train	6
24	0.40012306	0.9599116	0.6821833	train	6
25	0.39895016	0.96054703	0.68588334	train	6
26	0.39787665	0.9611099	0.6891	train	6
27	0.3966505	0.96171147	0.6918333	train	6
28	0.39925405	0.9606906	0.68685555	train	6
29	0.39499238	0.9626659	0.69644445	train	6
30	0.39545605	0.9625056	0.6958667	train	6
31	0.39388445	0.96348864	0.6995389	train	6
32	0.392773	0.963868	0.7030111	train	6
33	0.39290172	0.9639252	0.7024556	train	6
34	0.39161453	0.9645434	0.70577776	train	6
35	0.391152	0.9648141	0.7065833	train	6
36	0.39004862	0.9653578	0.7084167	train	6
37	0.39002994	0.9653342	0.70921665	train	6
38	0.3902605	0.96511793	0.70811665	train	6
39	0.38866693	0.96616584	0.7130667	train	6
40	0.38857928	0.96618235	0.7131778	train	6
41	0.38811648	0.9664379	0.7142	train	6
42	0.3875588	0.9666511	0.7162222	train	6
43	0.38698375	0.9670275	0.7174778	train	6
44	0.38693884	0.96701473	0.7166945	train	6
45	0.38703412	0.96694076	0.7171389	train	6
46	0.38599417	0.96743166	0.7192445	train	6
47	0.38624328	0.9672999	0.7189278	train	6
48	0.3856703	0.96776146	0.72022223	train	6
49	0.38479498	0.96814746	0.72184443	train	6
50	0.38481256	0.9681077	0.72225	train	6
51	0.38428244	0.96833825	0.7232778	train	6
52	0.38421714	0.96839935	0.7242278	train	6
53	0.38511348	0.9677674	0.7219889	train	6
54	0.38343716	0.9687662	0.7262167	train	6
55	0.38334382	0.96871364	0.7257278	train	6
56	0.40771797	0.95484364	0.6714278	train	6
57	0.3883454	0.96593446	0.7139722	train	6
58	0.38366583	0.96854454	0.72613335	train	6
59	0.38392538	0.9685453	0.72515	train	6
60	0.38267705	0.96913415	0.7287056	train	6
61	0.38242197	0.96923846	0.72845	train	6
62	0.381977	0.96954817	0.73091114	train	6
63	0.38211495	0.96936256	0.72864443	train	6
64	0.38139796	0.96977437	0.7314389	train	6
65	0.3834518	0.9686845	0.7267945	train	6
66	0.38089678	0.9699193	0.73295003	train	6
67	0.38197768	0.9693684	0.7300389	train	6
68	0.38032672	0.97033185	0.73411113	train	6
69	0.38038564	0.97030395	0.7341167	train	6
70	0.38093168	0.9698942	0.73307776	train	6
71	0.38010523	0.9704156	0.7355667	train	6
72	0.380772	0.9701194	0.7342889	train	6
73	0.37977266	0.9705357	0.7357389	train	6
74	0.37934542	0.97083724	0.7375	train	6
75	0.37950096	0.9707494	0.7370222	train	6
76	0.37921235	0.9709024	0.73741114	train	6
77	0.37940136	0.97083044	0.73785	train	6
78	0.3795276	0.9706762	0.7381	train	6
79	0.37875006	0.97099674	0.73861665	train	6
80	0.3787494	0.97101545	0.7392667	train	6
81	0.37890437	0.9710042	0.73773336	train	6
82	0.37837225	0.97133625	0.74058336	train	6
83	0.37872368	0.9709843	0.7388389	train	6
84	0.37815702	0.97131306	0.74050003	train	6
85	0.37803093	0.971452	0.74078333	train	6
86	0.37835655	0.9712851	0.74049443	train	6
87	0.37775946	0.9714889	0.74185	train	6
88	0.37751076	0.971669	0.7422111	train	6
89	0.377618	0.97154725	0.74277776	train	6
90	0.37752116	0.9716239	0.7417667	train	6
91	0.37712646	0.97181255	0.74351114	train	6
92	0.376991	0.9719726	0.74343336	train	6
93	0.37734783	0.9717147	0.7433889	train	6
94	0.37984607	0.9701891	0.73468333	train	6
95	0.37643948	0.9721619	0.7450611	train	6
96	0.37729552	0.9716238	0.74280554	train	6
97	0.37684894	0.97196734	0.74355	train	6
98	0.37635463	0.97217304	0.7463	train	6
99	0.37658474	0.9720263	0.7446333	train	6
100	0.3763588	0.972167	0.74554443	train	6
0	2.210206	0.111085735	0.0	test	6
1	0.5981468	0.8613683	0.31405556	test	6
2	0.50026566	0.9012544	0.46244445	test	6
3	0.47562397	0.9170644	0.5271111	test	6
4	0.4636703	0.92402196	0.54744446	test	6
5	0.45447296	0.92946297	0.56544447	test	6
6	0.448423	0.9329033	0.5822222	test	6
7	0.44196323	0.9368491	0.58922225	test	6
8	0.43878636	0.9370103	0.5778889	test	6
9	0.43181247	0.942404	0.60422224	test	6
10	0.43226063	0.9418333	0.6045	test	6
11	0.4297849	0.9426797	0.60716665	test	6
12	0.4396013	0.93733674	0.6000556	test	6
13	0.4210906	0.94790465	0.63622224	test	6
14	0.4217005	0.94658643	0.61844444	test	6
15	0.4160324	0.950607	0.63916665	test	6
16	0.41521865	0.9518443	0.65227777	test	6
17	0.41343495	0.95236146	0.65344447	test	6
18	0.40986642	0.95410216	0.6622222	test	6
19	0.40922123	0.9537325	0.6460556	test	6
20	0.40851635	0.9546097	0.6583889	test	6
21	0.40342474	0.9580384	0.6783889	test	6
22	0.40395588	0.95750684	0.6753333	test	6
23	0.4038936	0.95943344	0.69533336	test	6
24	0.40225098	0.9590425	0.68927777	test	6
25	0.39987752	0.9597126	0.68366665	test	6
26	0.3998672	0.96052605	0.6851111	test	6
27	0.39757508	0.9610199	0.68527776	test	6
28	0.39607888	0.9611015	0.68855554	test	6
29	0.39501002	0.963347	0.712	test	6
30	0.40200022	0.9592654	0.675	test	6
31	0.39384428	0.96385866	0.7032222	test	6
