epoch	loss	accuracy	solved	dataset	run_id
0	2.2120614	0.111185804	0.0	train	10
1	0.9048103	0.71537524	0.0729	train	10
2	0.53172016	0.88682854	0.4137389	train	10
3	0.48468783	0.91089857	0.49689445	train	10
4	0.46680343	0.9214247	0.5335444	train	10
5	0.45587492	0.9280969	0.5555611	train	10
6	0.44787186	0.93289536	0.5732167	train	10
7	0.44167608	0.93654454	0.58637226	train	10
8	0.4370443	0.9393103	0.59745	train	10
9	0.43236992	0.94204956	0.60820556	train	10
10	0.42858207	0.9442257	0.6173556	train	10
11	0.4260129	0.945436	0.6220889	train	10
12	0.42181593	0.94795334	0.63135	train	10
13	0.42106092	0.9483361	0.6334389	train	10
14	0.41686273	0.9510344	0.64435554	train	10
15	0.4140441	0.9526968	0.6515389	train	10
16	0.4110375	0.95429265	0.65761113	train	10
17	0.40871596	0.95563084	0.6630167	train	10
18	0.40716666	0.9565235	0.66735	train	10
19	0.40579948	0.95726806	0.67118335	train	10
20	0.4030851	0.958734	0.6771167	train	10
21	0.4028016	0.95895267	0.6776889	train	10
22	0.40214562	0.95929474	0.67976665	train	10
23	0.401493	0.9596639	0.681	train	10
24	0.39843628	0.96136147	0.6900167	train	10
25	0.3994237	0.9607629	0.6868667	train	10
26	0.39699736	0.9621834	0.69375	train	10
27	0.3965343	0.9624753	0.6946722	train	10
28	0.39565033	0.9629263	0.69585	train	10
29	0.39480108	0.9633352	0.6984389	train	10
30	0.39439213	0.9635881	0.69993335	train	10
31	0.393218	0.96415675	0.7027778	train	10
32	0.40434855	0.95920897	0.68074447	train	10
33	0.39483792	0.9633719	0.69797224	train	10
34	0.39344585	0.9641101	0.7014222	train	10
35	0.39224967	0.9645962	0.70448333	train	10
36	0.39105612	0.9652308	0.7081611	train	10
37	0.39092347	0.9652842	0.7081556	train	10
38	0.39451125	0.96328324	0.70099443	train	10
39	0.38942578	0.9661001	0.7113445	train	10
40	0.3899296	0.9657147	0.71050555	train	10
41	0.38850385	0.9665851	0.7138111	train	10
42	0.38831118	0.9666977	0.7143056	train	10
43	0.3900597	0.96581817	0.7109389	train	10
44	0.3879946	0.96673644	0.71512777	train	10
45	0.38699415	0.9672576	0.71813333	train	10
46	0.38696992	0.9672841	0.7170778	train	10
47	0.38617715	0.96766233	0.72122777	train	10
48	0.38590834	0.96775115	0.72115	train	10
49	0.3868816	0.9672065	0.7185	train	10
50	0.38624114	0.9676003	0.7204722	train	10
51	0.38498366	0.9681883	0.72307223	train	10
52	0.38480836	0.96840084	0.72425556	train	10
53	0.38467425	0.9684862	0.72415555	train	10
54	0.384076	0.9687228	0.7257778	train	10
55	0.38347867	0.9691208	0.7284778	train	10
56	0.38387683	0.9688492	0.7269389	train	10
57	0.3835872	0.9690657	0.7264889	train	10
58	0.38319367	0.96920013	0.7272722	train	10
59	0.38402998	0.96904075	0.7274945	train	10
60	0.38279775	0.9694302	0.7300111	train	10
61	0.38319293	0.9691628	0.7275778	train	10
62	0.3822508	0.9696801	0.7308222	train	10
63	0.39106748	0.96564496	0.71200556	train	10
64	0.3816725	0.96999526	0.7323722	train	10
65	0.38229933	0.9695206	0.72994447	train	10
66	0.38122132	0.9701778	0.73390555	train	10
67	0.38111538	0.9702188	0.73390555	train	10
68	0.381696	0.9698552	0.7320833	train	10
69	0.38113382	0.97027165	0.73336667	train	10
70	0.38087195	0.9703461	0.7344222	train	10
71	0.3804368	0.9705873	0.73584443	train	10
72	0.38015825	0.97068053	0.73645	train	10
73	0.38025215	0.97069	0.7349	train	10
74	0.37994972	0.9708663	0.73698336	train	10
75	0.38010007	0.97080564	0.7365889	train	10
76	0.38009697	0.9706854	0.73677224	train	10
77	0.37951627	0.9709654	0.7380667	train	10
78	0.37951863	0.9709984	0.7376556	train	10
79	0.379322	0.97107154	0.7384056	train	10
80	0.37891898	0.97133046	0.73945004	train	10
81	0.38188285	0.9697535	0.7326611	train	10
82	0.37877116	0.97132796	0.7393445	train	10
83	0.37908608	0.97131497	0.73990554	train	10
84	0.37865418	0.971472	0.73979443	train	10
85	0.37854922	0.9714947	0.7408444	train	10
86	0.3788422	0.97139513	0.7398389	train	10
87	0.37902486	0.9711532	0.7382389	train	10
88	0.37817836	0.97169054	0.74085003	train	10
89	0.37797147	0.9717629	0.74234444	train	10
90	0.37834108	0.9715736	0.74153334	train	10
91	0.37783077	0.97184855	0.7431889	train	10
92	0.37765607	0.97179675	0.74207777	train	10
93	0.37794083	0.97173977	0.7412889	train	10
94	0.37728295	0.972097	0.7429167	train	10
95	0.37718242	0.97214437	0.74417776	train	10
96	0.3772664	0.9720563	0.7448222	train	10
97	0.37691203	0.9722267	0.7441111	train	10
98	0.3771954	0.9721553	0.74356115	train	10
99	0.37677294	0.9723276	0.74526113	train	10
100	0.37720984	0.9721329	0.74309444	train	10
0	2.21209	0.111181065	0.0	test	10
1	0.5871115	0.86274964	0.31183332	test	10
2	0.5034427	0.8999053	0.46411112	test	10
3	0.47639263	0.9163079	0.5295	test	10
4	0.46313223	0.92307746	0.5223333	test	10
5	0.45124966	0.931227	0.57361114	test	10
6	0.44876453	0.93267214	0.5802778	test	10
7	0.4395784	0.93819475	0.6065556	test	10
8	0.43454412	0.9400315	0.59344447	test	10
9	0.42718735	0.9445432	0.6187222	test	10
10	0.43008575	0.943013	0.6076667	test	10
11	0.42196116	0.9476008	0.6203333	test	10
12	0.42126322	0.947535	0.63155556	test	10
13	0.41758415	0.9507531	0.6505	test	10
14	0.4179745	0.94907814	0.62266666	test	10
15	0.41566017	0.9528285	0.66561115	test	10
16	0.41243976	0.9533464	0.6498889	test	10
17	0.4070308	0.95602053	0.6607778	test	10
18	0.40973586	0.9553724	0.6613889	test	10
19	0.40486005	0.95681274	0.6696111	test	10
20	0.41744584	0.9477668	0.60833335	test	10
21	0.40184504	0.9600089	0.6876111	test	10
22	0.39980435	0.9608484	0.6906111	test	10
23	0.39843592	0.96083814	0.6885	test	10
24	0.4009811	0.9599307	0.6933333	test	10
25	0.3988474	0.9610425	0.69294447	test	10
26	0.39935285	0.9609636	0.70133334	test	10
27	0.4009057	0.9603806	0.6997778	test	10
28	0.3960829	0.9620247	0.6868333	test	10
29	0.39482877	0.9628676	0.69733334	test	10
30	0.3964099	0.9628066	0.70272225	test	10
31	0.3960086	0.9633587	0.7132222	test	10
32	0.41475847	0.95088613	0.6192222	test	10
33	0.44525474	0.93444854	0.59033334	test	10
34	0.3965387	0.9623676	0.69283336	test	10
35	0.39636886	0.96249247	0.68983334	test	10
36	0.39541507	0.96347326	0.70566666	test	10
37	0.38965082	0.96555555	0.7071667	test	10
38	0.39186466	0.963786	0.70177776	test	10
39	0.39970177	0.9609595	0.7022778	test	10
40	0.3906513	0.96466804	0.70261115	test	10
41	0.38781145	0.96721876	0.7211111	test	10
42	0.39033562	0.9652524	0.7062778	test	10
43	0.38918254	0.96551645	0.7061667	test	10
44	0.3870855	0.96763647	0.7272778	test	10
45	0.38837585	0.96587104	0.70883334	test	10
46	0.39549178	0.9619095	0.68083334	test	10
47	0.38625547	0.96786964	0.7365556	test	10
48	0.39266938	0.9639321	0.7003889	test	10
49	0.38788655	0.96544373	0.7032222	test	10
50	0.3859803	0.9675357	0.72477776	test	10
51	0.38659537	0.96718997	0.7242778	test	10
52	0.38959545	0.9661783	0.719	test	10
53	0.38511807	0.9682654	0.7283889	test	10
54	0.38590142	0.96753013	0.7237778	test	10
55	0.38531142	0.96757543	0.72522223	test	10
56	0.38420364	0.96882373	0.73311114	test	10
57	0.38461033	0.968214	0.72344446	test	10
58	0.3866588	0.967286	0.7207778	test	10
59	0.38371128	0.96876746	0.72227776	test	10
60	0.38305792	0.9692668	0.73311114	test	10
61	0.38361368	0.9687099	0.7262222	test	10
62	0.384161	0.9684328	0.7291667	test	10
63	0.38303143	0.96843827	0.72272223	test	10
64	0.38189408	0.97003704	0.74233335	test	10
65	0.38289142	0.9693806	0.73455554	test	10
66	0.38276854	0.9696406	0.7328889	test	10
67	0.38097775	0.970192	0.73505557	test	10
68	0.3826659	0.9689492	0.72911114	test	10
69	0.3815144	0.96978533	0.74288887	test	10
70	0.3833553	0.96941906	0.7425	test	10
71	0.3825312	0.9694005	0.74050003	test	10
72	0.38691723	0.9672798	0.7196111	test	10
73	0.38156742	0.9698038	0.73366666	test	10
74	0.3829591	0.9692599	0.7267778	test	10
75	0.38491085	0.968144	0.7326667	test	10
76	0.38121384	0.96970576	0.7298889	test	10
77	0.37914366	0.9711509	0.7453333	test	10
78	0.39073575	0.9637798	0.7011667	test	10
79	0.3797692	0.9711063	0.75033337	test	10
80	0.3846296	0.9673525	0.70805556	test	10
81	0.3832751	0.9694115	0.74277776	test	10
82	0.37880075	0.9713004	0.7416667	test	10
83	0.37921563	0.9712023	0.7455	test	10
84	0.38331735	0.968882	0.7116111	test	10
85	0.3791986	0.9709602	0.7407778	test	10
86	0.38259628	0.9691523	0.73422223	test	10
87	0.37817422	0.9717051	0.7455	test	10
88	0.3809403	0.9703752	0.7402222	test	10
89	0.3854418	0.96771395	0.7063889	test	10
90	0.38047478	0.96994925	0.73694444	test	10
91	0.3787587	0.97151303	0.74405557	test	10
92	0.3810646	0.9703964	0.74016666	test	10
93	0.38071835	0.9703752	0.7441111	test	10
94	0.37918183	0.97085387	0.74205554	test	10
95	0.37990057	0.9701941	0.72955555	test	10
96	0.3824179	0.96868175	0.7187222	test	10
97	0.3782198	0.97126955	0.7351111	test	10
98	0.38011137	0.970524	0.7411111	test	10
99	0.37777913	0.9719698	0.7456667	test	10
100	0.3794684	0.9712668	0.75016665	test	10
