subject_id	trial	response_type	probability
1	0	0	0.001114822
1	1	0	0.00096602587
1	2	0	0.0009660034
1	3	0	0.0009660034
1	4	0	0.0009660034
1	5	0	0.0009660034
1	6	0	0.00096600334
1	7	0	0.0009660034
1	8	0	0.0009660034
1	9	0	0.00096600346
1	10	0	0.00096600346
1	11	0	0.00096600346
1	12	0	0.0009660034
1	13	0	0.0009660034
1	14	0	0.0009660034
1	15	0	0.0009660034
1	16	0	0.0009660034
1	17	0	0.0009660034
1	18	0	0.0009660034
1	19	0	0.0009660034
1	20	0	0.0009660034
1	21	0	0.0009660034
1	22	0	0.0009660034
1	23	0	0.0009660034
1	24	0	0.00096600346
2	0	0	0.001114822
2	1	0	0.00096602587
2	2	0	0.0009660034
2	3	0	0.0009660034
2	4	0	0.0009660034
2	5	0	0.0009660034
2	6	0	0.00096600334
2	7	0	0.0009660034
2	8	0	0.0009660034
2	9	0	0.00096600346
2	10	0	0.00096600346
2	11	0	0.00096600346
2	12	0	0.0009660034
2	13	0	0.0009660034
2	14	0	0.0009660034
2	15	0	0.0009660034
2	16	0	0.0009660034
2	17	0	0.0009660034
2	18	0	0.0009660034
2	19	0	0.0009660034
2	20	0	0.0009660034
2	21	0	0.0009660034
2	22	0	0.0009660034
2	23	0	0.0009660034
2	24	0	0.00096600346
3	0	0	0.001114822
3	1	0	0.00096602587
3	2	0	0.0009660034
3	3	0	0.0009660034
3	4	0	0.0009660034
3	5	0	0.0009660034
3	6	0	0.00096600334
3	7	0	0.0009660034
3	8	0	0.0009660034
3	9	0	0.00096600346
3	10	0	0.00096600346
3	11	0	0.00096600346
3	12	0	0.0009660034
3	13	0	0.0009660034
3	14	0	0.0009660034
3	15	0	0.0009660034
3	16	0	0.0009660034
3	17	0	0.0009660034
3	18	0	0.0009660034
3	19	0	0.0009660034
3	20	0	0.0009660034
3	21	0	0.0009660034
3	22	0	0.0009660034
3	23	0	0.0009660034
3	24	0	0.00096600346
4	0	0	0.001114822
4	1	0	0.00096602587
4	2	0	0.0009660034
4	3	0	0.0009660034
4	4	0	0.0009660034
4	5	0	0.0009660034
4	6	0	0.00096600334
4	7	0	0.0009660034
4	8	0	0.0009660034
4	9	0	0.00096600346
4	10	0	0.00096600346
4	11	0	0.00096600346
4	12	0	0.0009660034
4	13	0	0.0009660034
4	14	0	0.0009660034
4	15	0	0.0009660034
4	16	0	0.0009660034
4	17	0	0.0009660034
4	18	0	0.0009660034
4	19	0	0.0009660034
4	20	0	0.0009660034
4	21	0	0.0009660034
4	22	0	0.0009660034
4	23	0	0.0009660034
4	24	0	0.00096600346
5	0	0	0.001114822
5	1	0	0.00096602587
5	2	0	0.0009660034
5	3	0	0.0009660034
5	4	0	0.0009660034
5	5	0	0.0009660034
5	6	0	0.00096600334
5	7	0	0.0009660034
5	8	0	0.0009660034
5	9	0	0.00096600346
5	10	0	0.00096600346
5	11	0	0.00096600346
5	12	0	0.0009660034
5	13	0	0.0009660034
5	14	0	0.0009660034
5	15	0	0.0009660034
5	16	0	0.0009660034
5	17	0	0.0009660034
5	18	0	0.0009660034
5	19	0	0.0009660034
5	20	0	0.0009660034
5	21	0	0.0009660034
5	22	0	0.0009660034
5	23	0	0.0009660034
5	24	0	0.00096600346
6	0	0	0.001114822
6	1	0	0.00096602587
6	2	0	0.0009660034
6	3	0	0.0009660034
6	4	0	0.0009660034
6	5	0	0.0009660034
6	6	0	0.00096600334
6	7	0	0.0009660034
6	8	0	0.0009660034
6	9	0	0.00096600346
6	10	0	0.00096600346
6	11	0	0.00096600346
6	12	0	0.0009660034
6	13	0	0.0009660034
6	14	0	0.0009660034
6	15	0	0.0009660034
6	16	0	0.0009660034
6	17	0	0.0009660034
6	18	0	0.0009660034
6	19	0	0.0009660034
6	20	0	0.0009660034
6	21	0	0.0009660034
6	22	0	0.0009660034
6	23	0	0.0009660034
6	24	0	0.00096600346
7	0	0	0.001114822
7	1	0	0.00096602587
7	2	0	0.0009660034
7	3	0	0.0009660034
7	4	0	0.0009660034
7	5	0	0.0009660034
7	6	0	0.00096600334
7	7	0	0.0009660034
7	8	0	0.0009660034
7	9	0	0.00096600346
7	10	0	0.00096600346
7	11	0	0.00096600346
7	12	0	0.0009660034
7	13	0	0.0009660034
7	14	0	0.0009660034
7	15	0	0.0009660034
7	16	0	0.0009660034
7	17	0	0.0009660034
7	18	0	0.0009660034
7	19	0	0.0009660034
7	20	0	0.0009660034
7	21	0	0.0009660034
7	22	0	0.0009660034
7	23	0	0.0009660034
7	24	0	0.00096600346
8	0	0	0.001114822
8	1	0	0.00096602587
8	2	0	0.0009660034
8	3	0	0.0009660034
8	4	0	0.0009660034
8	5	0	0.0009660034
8	6	0	0.00096600334
8	7	0	0.0009660034
8	8	0	0.0009660034
8	9	0	0.00096600346
8	10	0	0.00096600346
8	11	0	0.00096600346
8	12	0	0.0009660034
8	13	0	0.0009660034
8	14	0	0.0009660034
8	15	0	0.0009660034
8	16	0	0.0009660034
8	17	0	0.0009660034
8	18	0	0.0009660034
8	19	0	0.0009660034
8	20	0	0.0009660034
8	21	0	0.0009660034
8	22	0	0.0009660034
8	23	0	0.0009660034
8	24	0	0.00096600346
9	0	0	0.001114822
9	1	0	0.00096602587
9	2	0	0.0009660034
9	3	0	0.0009660034
9	4	0	0.0009660034
9	5	0	0.0009660034
9	6	0	0.00096600334
9	7	0	0.0009660034
9	8	0	0.0009660034
9	9	0	0.00096600346
9	10	0	0.00096600346
9	11	0	0.00096600346
9	12	0	0.0009660034
9	13	0	0.0009660034
9	14	0	0.0009660034
9	15	0	0.0009660034
9	16	0	0.0009660034
9	17	0	0.0009660034
9	18	0	0.0009660034
9	19	0	0.0009660034
9	20	0	0.0009660034
9	21	0	0.0009660034
9	22	0	0.0009660034
9	23	0	0.0009660034
9	24	0	0.00096600346
10	0	0	0.001114822
10	1	0	0.00096602587
10	2	0	0.0009660034
10	3	0	0.0009660034
10	4	0	0.0009660034
10	5	0	0.0009660034
10	6	0	0.00096600334
10	7	0	0.0009660034
10	8	0	0.0009660034
10	9	0	0.00096600346
10	10	0	0.00096600346
10	11	0	0.00096600346
10	12	0	0.0009660034
10	13	0	0.0009660034
10	14	0	0.0009660034
10	15	0	0.0009660034
10	16	0	0.0009660034
10	17	0	0.0009660034
10	18	0	0.0009660034
10	19	0	0.0009660034
10	20	0	0.0009660034
10	21	0	0.0009660034
10	22	0	0.0009660034
10	23	0	0.0009660034
10	24	0	0.00096600346
11	0	0	0.001114822
11	1	0	0.00096602587
11	2	0	0.0009660034
11	3	0	0.0009660034
11	4	0	0.0009660034
11	5	0	0.0009660034
11	6	0	0.00096600334
11	7	0	0.0009660034
11	8	0	0.0009660034
11	9	0	0.00096600346
11	10	0	0.00096600346
11	11	0	0.00096600346
11	12	0	0.0009660034
11	13	0	0.0009660034
11	14	0	0.0009660034
11	15	0	0.0009660034
11	16	0	0.0009660034
11	17	0	0.0009660034
11	18	0	0.0009660034
11	19	0	0.0009660034
11	20	0	0.0009660034
11	21	0	0.0009660034
11	22	0	0.0009660034
11	23	0	0.0009660034
11	24	0	0.00096600346
12	0	0	0.001114822
12	1	0	0.00096602587
12	2	0	0.0009660034
12	3	0	0.0009660034
12	4	0	0.0009660034
12	5	0	0.0009660034
12	6	0	0.00096600334
12	7	0	0.0009660034
12	8	0	0.0009660034
12	9	0	0.00096600346
12	10	0	0.00096600346
12	11	0	0.00096600346
12	12	0	0.0009660034
12	13	0	0.0009660034
12	14	0	0.0009660034
12	15	0	0.0009660034
12	16	0	0.0009660034
12	17	0	0.0009660034
12	18	0	0.0009660034
12	19	0	0.0009660034
12	20	0	0.0009660034
12	21	0	0.0009660034
12	22	0	0.0009660034
12	23	0	0.0009660034
12	24	0	0.00096600346
13	0	0	0.0021414098
13	1	0	0.00096619525
13	2	0	0.00096600346
13	3	0	0.0009660033
13	4	0	0.00096600334
13	5	0	0.0009660034
13	6	0	0.0009660034
13	7	0	0.0009660034
13	8	0	0.0009660034
13	9	0	0.00096600346
13	10	0	0.00096600346
13	11	0	0.00096600346
13	12	0	0.00096600346
13	13	0	0.0009660034
13	14	0	0.00096600346
13	15	0	0.0009660034
13	16	0	0.00096600346
13	17	0	0.0009660034
13	18	0	0.00096600346
13	19	0	0.00096600346
13	20	0	0.00096600346
13	21	0	0.00096600346
13	22	0	0.00096600346
13	23	0	0.00096600346
13	24	0	0.00096600334
14	0	0	0.064259164
14	1	0	0.0009769831
14	2	0	0.000966005
14	3	0	0.0009660034
14	4	0	0.00096600346
14	5	0	0.0009660034
14	6	0	0.00096600346
14	7	0	0.00096600334
14	8	0	0.00096600334
14	9	0	0.0009660034
14	10	0	0.0009660034
14	11	0	0.0009660034
14	12	0	0.0009660034
14	13	0	0.00096600346
14	14	0	0.00096600346
14	15	0	0.0009660034
14	16	0	0.00096600334
14	17	0	0.00096600334
14	18	0	0.0009660034
14	19	0	0.00096600334
14	20	0	0.00096600334
14	21	0	0.00096600334
14	22	0	0.00096600334
14	23	0	0.00096600334
14	24	0	0.00096600334
15	0	0	0.064259164
15	1	0	0.0009769831
15	2	0	0.000966005
15	3	0	0.0009660034
15	4	0	0.00096600346
15	5	0	0.0009660034
15	6	0	0.00096600346
15	7	0	0.00096600334
15	8	0	0.00096600334
15	9	0	0.0009660034
15	10	0	0.0009660034
15	11	0	0.0009660034
15	12	0	0.0009660034
15	13	0	0.00096600346
15	14	0	0.00096600346
15	15	0	0.0009660034
15	16	0	0.00096600334
15	17	0	0.00096600334
15	18	0	0.0009660034
15	19	0	0.00096600334
15	20	0	0.00096600334
15	21	0	0.00096600334
15	22	0	0.00096600334
15	23	0	0.00096600334
15	24	0	0.00096600334
16	0	0	0.0021414098
16	1	0	0.00096619525
16	2	0	0.00096600346
16	3	0	0.0009660033
16	4	0	0.00096600334
16	5	0	0.0009660034
16	6	0	0.0009660034
16	7	0	0.0009660034
16	8	0	0.0009660034
16	9	0	0.00096600346
16	10	0	0.00096600346
16	11	0	0.00096600346
16	12	0	0.00096600346
16	13	0	0.0009660034
16	14	0	0.00096600346
16	15	0	0.0009660034
16	16	0	0.00096600346
16	17	0	0.0009660034
16	18	0	0.00096600346
16	19	0	0.00096600346
16	20	0	0.00096600346
16	21	0	0.00096600346
16	22	0	0.00096600346
16	23	0	0.00096600346
16	24	0	0.00096600334
17	0	0	0.08997598
17	1	0	0.0009814445
17	2	0	0.0009660058
17	3	0	0.00096600346
17	4	0	0.0009660035
17	5	0	0.0009660035
17	6	0	0.0009660034
17	7	0	0.0009660035
17	8	0	0.00096600346
17	9	0	0.0009660035
17	10	0	0.00096600346
17	11	0	0.00096600346
17	12	0	0.00096600346
17	13	0	0.00096600346
17	14	0	0.00096600346
17	15	0	0.00096600346
17	16	0	0.0009660035
17	17	0	0.0009660035
17	18	0	0.00096600346
17	19	0	0.00096600346
17	20	0	0.0009660034
17	21	0	0.0009660035
17	22	0	0.00096600346
17	23	0	0.00096600346
17	24	0	0.00096600346
18	0	0	0.10134727
18	1	0	0.0009834172
18	2	0	0.00096600613
18	3	0	0.0009660035
18	4	0	0.00096600346
18	5	0	0.00096600346
18	6	0	0.0009660034
18	7	0	0.0009660034
18	8	0	0.00096600346
18	9	0	0.0009660034
18	10	0	0.0009660035
18	11	0	0.00096600346
18	12	0	0.0009660035
18	13	0	0.0009660034
18	14	0	0.0009660035
18	15	0	0.00096600346
18	16	0	0.0009660035
18	17	0	0.00096600346
18	18	0	0.00096600346
18	19	0	0.00096600346
18	20	0	0.0009660035
18	21	0	0.0009660035
18	22	0	0.00096600346
18	23	0	0.00096600346
18	24	0	0.00096600346
19	0	0	0.008589347
19	1	0	0.0009672475
19	2	0	0.0009660035
19	3	0	0.00096600334
19	4	0	0.0009660034
19	5	0	0.00096600334
19	6	0	0.00096600334
19	7	0	0.00096600334
19	8	0	0.0009660034
19	9	0	0.0009660033
19	10	0	0.00096600334
19	11	0	0.00096600346
19	12	0	0.00096600334
19	13	0	0.00096600334
19	14	0	0.00096600334
19	15	0	0.0009660034
19	16	0	0.0009660033
19	17	0	0.00096600334
19	18	0	0.00096600334
19	19	0	0.0009660034
19	20	0	0.0009660034
19	21	0	0.00096600334
19	22	0	0.0009660034
19	23	0	0.0009660034
19	24	0	0.0009660033
20	0	0	0.0026481529
20	1	0	0.00096627465
20	2	0	0.0009660034
20	3	0	0.0009660034
20	4	0	0.00096600334
20	5	0	0.0009660034
20	6	0	0.0009660034
20	7	0	0.00096600334
20	8	0	0.00096600334
20	9	0	0.0009660034
20	10	0	0.0009660034
20	11	0	0.0009660034
20	12	0	0.0009660034
20	13	0	0.00096600334
20	14	0	0.0009660034
20	15	0	0.0009660034
20	16	0	0.0009660034
20	17	0	0.00096600334
20	18	0	0.00096600334
20	19	0	0.00096600334
20	20	0	0.0009660034
20	21	0	0.00096600334
20	22	0	0.00096600334
20	23	0	0.00096600334
20	24	0	0.0009660034
21	0	0	0.004362496
21	1	0	0.0009665511
21	2	0	0.00096600346
21	3	0	0.0009660033
21	4	0	0.0009660034
21	5	0	0.0009660034
21	6	0	0.0009660034
21	7	0	0.00096600334
21	8	0	0.0009660034
21	9	0	0.00096600334
21	10	0	0.00096600334
21	11	0	0.0009660034
21	12	0	0.00096600334
21	13	0	0.00096600334
21	14	0	0.00096600334
21	15	0	0.00096600334
21	16	0	0.00096600334
21	17	0	0.0009660034
21	18	0	0.0009660034
21	19	0	0.0009660034
21	20	0	0.0009660034
21	21	0	0.00096600334
21	22	0	0.00096600334
21	23	0	0.0009660034
21	24	0	0.00096600334
22	0	0	0.004362496
22	1	0	0.0009665511
22	2	0	0.00096600346
22	3	0	0.0009660033
22	4	0	0.0009660034
22	5	0	0.0009660034
22	6	0	0.0009660034
22	7	0	0.00096600334
22	8	0	0.0009660034
22	9	0	0.00096600334
22	10	0	0.00096600334
22	11	0	0.0009660034
22	12	0	0.00096600334
22	13	0	0.00096600334
22	14	0	0.00096600334
22	15	0	0.00096600334
22	16	0	0.00096600334
22	17	0	0.0009660034
22	18	0	0.0009660034
22	19	0	0.0009660034
22	20	0	0.0009660034
22	21	0	0.00096600334
22	22	0	0.00096600334
22	23	0	0.0009660034
22	24	0	0.00096600334
23	0	0	0.0012831881
23	1	0	0.00096609
23	2	0	0.00096600346
23	3	0	0.0009660034
23	4	0	0.00096600346
23	5	0	0.00096600346
23	6	0	0.00096600346
23	7	0	0.00096600346
23	8	0	0.0009660034
23	9	0	0.00096600346
23	10	0	0.00096600346
23	11	0	0.0009660034
23	12	0	0.0009660034
23	13	0	0.00096600346
23	14	0	0.0009660034
23	15	0	0.00096600346
23	16	0	0.0009660034
23	17	0	0.00096600346
23	18	0	0.0009660034
23	19	0	0.00096600346
23	20	0	0.00096600346
23	21	0	0.0009660034
23	22	0	0.0009660034
23	23	0	0.00096600346
23	24	0	0.00096600334
24	0	0	0.0012831881
24	1	0	0.00096609
24	2	0	0.00096600346
24	3	0	0.0009660034
24	4	0	0.00096600346
24	5	0	0.00096600346
24	6	0	0.00096600346
24	7	0	0.00096600346
24	8	0	0.0009660034
24	9	0	0.00096600346
24	10	0	0.00096600346
24	11	0	0.0009660034
24	12	0	0.0009660034
24	13	0	0.00096600346
24	14	0	0.0009660034
24	15	0	0.00096600346
24	16	0	0.0009660034
24	17	0	0.00096600346
24	18	0	0.0009660034
24	19	0	0.00096600346
24	20	0	0.00096600346
24	21	0	0.0009660034
24	22	0	0.0009660034
24	23	0	0.00096600346
24	24	0	0.00096600334
25	0	0	0.004714776
25	1	0	0.0009666103
25	2	0	0.0009660035
25	3	0	0.00096600346
25	4	0	0.0009660034
25	5	0	0.00096600334
25	6	0	0.00096600334
25	7	0	0.0009660034
25	8	0	0.00096600346
25	9	0	0.00096600346
25	10	0	0.00096600346
25	11	0	0.00096600334
25	12	0	0.00096600334
25	13	0	0.0009660034
25	14	0	0.00096600334
25	15	0	0.00096600334
25	16	0	0.0009660034
25	17	0	0.0009660034
25	18	0	0.00096600334
25	19	0	0.00096600334
