subject_id	trial	strategy	probability
1	0	0	0.00044775332
1	1	0	6.762603e-08
1	2	0	1.0213839e-11
1	3	0	1.5426383e-15
1	4	0	2.32991e-19
1	5	0	3.518959e-23
1	6	0	5.3148317e-27
1	7	0	8.02722e-31
1	8	0	1.2123878e-34
1	9	0	1.8311302e-38
1	10	0	2.76e-42
1	11	0	0.0
1	12	0	0.0
1	13	0	0.0
1	14	0	0.0
1	15	0	0.0
1	16	0	0.0
1	17	0	0.0
1	18	0	0.0
1	19	0	0.0
1	20	0	0.0
1	21	0	0.0
1	22	0	0.0
1	23	0	0.0
1	24	0	0.0
2	0	0	0.00044775332
2	1	0	6.762603e-08
2	2	0	1.0213839e-11
2	3	0	1.5426383e-15
2	4	0	2.32991e-19
2	5	0	3.518959e-23
2	6	0	5.3148317e-27
2	7	0	8.02722e-31
2	8	0	1.2123878e-34
2	9	0	1.8311302e-38
2	10	0	2.76e-42
2	11	0	0.0
2	12	0	0.0
2	13	0	0.0
2	14	0	0.0
2	15	0	0.0
2	16	0	0.0
2	17	0	0.0
2	18	0	0.0
2	19	0	0.0
2	20	0	0.0
2	21	0	0.0
2	22	0	0.0
2	23	0	0.0
2	24	0	0.0
3	0	0	0.00044775332
3	1	0	6.762603e-08
3	2	0	1.0213839e-11
3	3	0	1.5426383e-15
3	4	0	2.32991e-19
3	5	0	3.518959e-23
3	6	0	5.3148317e-27
3	7	0	8.02722e-31
3	8	0	1.2123878e-34
3	9	0	1.8311302e-38
3	10	0	2.76e-42
3	11	0	0.0
3	12	0	0.0
3	13	0	0.0
3	14	0	0.0
3	15	0	0.0
3	16	0	0.0
3	17	0	0.0
3	18	0	0.0
3	19	0	0.0
3	20	0	0.0
3	21	0	0.0
3	22	0	0.0
3	23	0	0.0
3	24	0	0.0
4	0	0	0.00044775332
4	1	0	6.762603e-08
4	2	0	1.0213839e-11
4	3	0	1.5426383e-15
4	4	0	2.32991e-19
4	5	0	3.518959e-23
4	6	0	5.3148317e-27
4	7	0	8.02722e-31
4	8	0	1.2123878e-34
4	9	0	1.8311302e-38
4	10	0	2.76e-42
4	11	0	0.0
4	12	0	0.0
4	13	0	0.0
4	14	0	0.0
4	15	0	0.0
4	16	0	0.0
4	17	0	0.0
4	18	0	0.0
4	19	0	0.0
4	20	0	0.0
4	21	0	0.0
4	22	0	0.0
4	23	0	0.0
4	24	0	0.0
5	0	0	0.00044775332
5	1	0	6.762603e-08
5	2	0	1.0213839e-11
5	3	0	1.5426383e-15
5	4	0	2.32991e-19
5	5	0	3.518959e-23
5	6	0	5.3148317e-27
5	7	0	8.02722e-31
5	8	0	1.2123878e-34
5	9	0	1.8311302e-38
5	10	0	2.76e-42
5	11	0	0.0
5	12	0	0.0
5	13	0	0.0
5	14	0	0.0
5	15	0	0.0
5	16	0	0.0
5	17	0	0.0
5	18	0	0.0
5	19	0	0.0
5	20	0	0.0
5	21	0	0.0
5	22	0	0.0
5	23	0	0.0
5	24	0	0.0
6	0	0	0.00044775332
6	1	0	6.762603e-08
6	2	0	1.0213839e-11
6	3	0	1.5426383e-15
6	4	0	2.32991e-19
6	5	0	3.518959e-23
6	6	0	5.3148317e-27
6	7	0	8.02722e-31
6	8	0	1.2123878e-34
6	9	0	1.8311302e-38
6	10	0	2.76e-42
6	11	0	0.0
6	12	0	0.0
6	13	0	0.0
6	14	0	0.0
6	15	0	0.0
6	16	0	0.0
6	17	0	0.0
6	18	0	0.0
6	19	0	0.0
6	20	0	0.0
6	21	0	0.0
6	22	0	0.0
6	23	0	0.0
6	24	0	0.0
7	0	0	0.00044775332
7	1	0	6.762603e-08
7	2	0	1.0213839e-11
7	3	0	1.5426383e-15
7	4	0	2.32991e-19
7	5	0	3.518959e-23
7	6	0	5.3148317e-27
7	7	0	8.02722e-31
7	8	0	1.2123878e-34
7	9	0	1.8311302e-38
7	10	0	2.76e-42
7	11	0	0.0
7	12	0	0.0
7	13	0	0.0
7	14	0	0.0
7	15	0	0.0
7	16	0	0.0
7	17	0	0.0
7	18	0	0.0
7	19	0	0.0
7	20	0	0.0
7	21	0	0.0
7	22	0	0.0
7	23	0	0.0
7	24	0	0.0
8	0	0	0.00044775332
8	1	0	6.762603e-08
8	2	0	1.0213839e-11
8	3	0	1.5426383e-15
8	4	0	2.32991e-19
8	5	0	3.518959e-23
8	6	0	5.3148317e-27
8	7	0	8.02722e-31
8	8	0	1.2123878e-34
8	9	0	1.8311302e-38
8	10	0	2.76e-42
8	11	0	0.0
8	12	0	0.0
8	13	0	0.0
8	14	0	0.0
8	15	0	0.0
8	16	0	0.0
8	17	0	0.0
8	18	0	0.0
8	19	0	0.0
8	20	0	0.0
8	21	0	0.0
8	22	0	0.0
8	23	0	0.0
8	24	0	0.0
9	0	0	0.00044775332
9	1	0	6.762603e-08
9	2	0	1.0213839e-11
9	3	0	1.5426383e-15
9	4	0	2.32991e-19
9	5	0	3.518959e-23
9	6	0	5.3148317e-27
9	7	0	8.02722e-31
9	8	0	1.2123878e-34
9	9	0	1.8311302e-38
9	10	0	2.76e-42
9	11	0	0.0
9	12	0	0.0
9	13	0	0.0
9	14	0	0.0
9	15	0	0.0
9	16	0	0.0
9	17	0	0.0
9	18	0	0.0
9	19	0	0.0
9	20	0	0.0
9	21	0	0.0
9	22	0	0.0
9	23	0	0.0
9	24	0	0.0
10	0	0	0.00044775332
10	1	0	6.762603e-08
10	2	0	1.0213839e-11
10	3	0	1.5426383e-15
10	4	0	2.32991e-19
10	5	0	3.518959e-23
