subject_id	trial	type	state	strategy	response
0	0	0	0.00067321444	0.0008601949	0.00028673164
0	0	1	0.016293198	0.023600053	0.016115678
0	0	2	0.13105135	0.20043144	0.104244635
0	0	3	0.8519823	0.77510846	0.87935305
0	1	0	9.93089e-09	0.00018788883	6.262961e-05
0	1	1	0.00097045745	0.0049035805	0.00335256
0	1	2	0.06766444	0.14758003	0.07462815
0	1	3	0.93136513	0.8473286	0.9219567
0	2	0	1.4649528e-13	0.00018803008	6.26767e-05
0	2	1	1.8046314e-05	0.0018196462	0.0012966665
0	2	2	0.027696714	0.113435864	0.0570421
0	2	3	0.9722853	0.8845566	0.94159865
0	3	0	2.1610218e-18	0.0001880787	6.26929e-05
0	3	1	3.3540041e-07	0.00090960006	0.0006899906
0	3	2	0.010968115	0.09911056	0.049727775
0	3	3	0.98903155	0.89979184	0.9495196
0	4	0	3.187819e-23	0.00018809772	6.269924e-05
0	4	1	6.2335914e-09	0.0005555426	0.00045396076
0	4	2	0.004336834	0.09343136	0.04682917
0	4	3	0.9956632	0.90582514	0.9526543
0	5	0	4.7025123e-28	0.00018810524	6.270175e-05
0	5	1	1.1585468e-10	0.0004156644	0.00036071194
0	5	2	0.0017146778	0.091185674	0.04568301
0	5	3	0.9982854	0.90821075	0.9538937
0	6	0	6.936896e-33	0.00018810818	6.270273e-05
0	6	1	2.1532194e-12	0.00036036212	0.00032384507
0	6	2	0.00067793916	0.09029776	0.045229845
0	6	3	0.99932206	0.9091538	0.9543837
0	7	0	1.0232972e-37	0.00018810936	6.2703126e-05
0	7	1	4.0018776e-14	0.00033849708	0.0003092689
0	7	2	0.00026803953	0.08994671	0.045050673
0	7	3	0.99973196	0.90952677	0.95457745
0	8	0	1.49e-42	0.00018810983	6.270328e-05
0	8	1	7.437703e-16	0.0003298522	0.00030350586
0	8	2	0.000105975894	0.08980792	0.044979837
0	8	3	0.999894	0.90967417	0.95465404
0	9	0	0.0	0.00018811002	6.2703344e-05
0	9	1	1.3823417e-17	0.0003264343	0.00030122732
0	9	2	4.1900155e-05	0.08975305	0.04495183
0	9	3	0.99995816	0.9097325	0.9546844
0	10	0	0.0	0.0001881101	6.270337e-05
0	10	1	2.5691677e-19	0.00032508295	0.00030032647
0	10	2	1.6566271e-05	0.08973136	0.044940762
0	10	3	0.99998355	0.90975565	0.9546964
0	11	0	0.0	0.00018811013	6.270339e-05
0	11	1	4.7750136e-21	0.00032454863	0.00029997027
0	11	2	6.549914e-06	0.089722775	0.04493638
0	11	3	0.99999356	0.90976477	0.9547011
0	12	0	0.0	0.00018811015	6.270338e-05
0	12	1	8.874987e-23	0.00032433736	0.00029982944
0	12	2	2.5897066e-06	0.089719385	0.04493465
0	12	3	0.9999975	0.90976834	0.954703
0	13	0	0.0	0.00018811015	6.270339e-05
0	13	1	1.6496301e-24	0.00032425384	0.00029977376
0	13	2	1.0239432e-06	0.089718044	0.04493396
0	13	3	0.99999905	0.9097697	0.9547037
0	14	0	0.0	0.00018811015	6.270338e-05
0	14	1	3.0667233e-26	0.00032422086	0.00029975176
0	14	2	4.0488135e-07	0.08971751	0.04493369
0	14	3	0.9999997	0.9097703	0.954704
0	15	0	0.0	0.00018811015	6.270338e-05
0	15	1	5.703415e-28	0.00032420777	0.00029974303
0	15	2	1.601204e-07	0.0897173	0.044933587
0	15	3	0.99999994	0.90977055	0.9547041
0	16	0	0.0	0.00018811015	6.270339e-05
0	16	1	1.061775e-29	0.0003242026	0.0002997396
0	16	2	6.334828e-08	0.08971722	0.044933543
0	16	3	1.0	0.9097706	0.95470417
0	17	0	0.0	0.00018811016	6.270339e-05
0	17	1	1.981652e-31	0.00032420058	0.00029973825
0	17	2	2.5087104e-08	0.08971719	0.044933528
0	17	3	1.0000001	0.9097707	0.9547042
0	18	0	0.0	0.00018811016	6.270339e-05
0	18	1	3.7219836e-33	0.00032419976	0.0002997377
0	18	2	9.959621e-09	0.08971717	0.04493352
0	18	3	1.0000001	0.9097707	0.9547042
0	19	0	0.0	0.00018811016	6.270339e-05
0	19	1	7.100694e-35	0.00032419944	0.0002997375
0	19	2	3.9786014e-09	0.08971717	0.04493352
0	19	3	1.0000001	0.9097707	0.9547042
0	20	0	0.0	0.00018811016	6.270339e-05
0	20	1	1.405813e-36	0.00032419933	0.0002997374
0	20	2	1.6138637e-09	0.089717165	0.044933517
0	20	3	1.0000001	0.9097707	0.9547042
0	21	0	0.0	0.00018811016	6.270339e-05
0	21	1	3.0175813e-38	0.00032419927	0.00029973738
0	21	2	6.7890815e-10	0.089717165	0.044933517
0	21	3	1.0000001	0.9097707	0.9547042
0	22	0	0.0	0.00018811016	6.270339e-05
0	22	1	7.5117e-40	0.00032419927	0.00029973735
0	22	2	3.09251e-10	0.089717165	0.044933517
0	22	3	1.0000001	0.9097707	0.9547042
0	23	0	0.0	0.00018811016	6.270339e-05
0	23	1	2.2967e-41	0.00032419924	0.00029973735
0	23	2	1.6309815e-10	0.089717165	0.044933517
0	23	3	1.0000001	0.9097707	0.9547042
0	24	0	0.0	0.00018811016	6.270339e-05
0	24	1	9.07e-43	0.00032419924	0.00029973735
0	24	2	1.0531311e-10	0.089717165	0.044933517
0	24	3	1.0000001	0.9097707	0.9547042
1	0	0	0.00067321444	0.0008601949	0.00028673164
1	0	1	0.016293198	0.023600053	0.016115678
1	0	2	0.13105135	0.20043144	0.104244635
1	0	3	0.8519823	0.77510846	0.87935305
1	1	0	9.93089e-09	0.00018788883	6.262961e-05
1	1	1	0.00097045745	0.0049035805	0.00335256
